0.264,0.188
0.34,0.301
0.41,0.309
0.522,0.389
0.209,0.188
0.48,0.519
0.367,0.247
0.246,0.205
0.347,0.3
0.325,0.242
0.268,0.209
0.375,0.314
0.23,0.213
0.337,0.299
0.477,0.376
0.387,0.296
0.396,0.297
0.398,0.181
0.341,0.292
0.365,0.436
0.387,0.375
0.275,0.24
0.276,0.28
0.208,0.208
0.286,0.212
0.257,0.188
0.352,0.321
0.391,0.223
0.308,0.259
0.329,0.265
0.345,0.276
0.469,0.353
0.406,0.42
0.469,0.445
0.32,0.289
0.486,0.314
0.341,0.386
0.29,0.276
0.293,0.295
0.395,0.222
0.263,0.196
0.531,0.527
0.188,0.154
0.235,0.121
0.215,0.156
0.341,0.313
0.409,0.325
0.352,0.187
0.407,0.352
0.194,0.085
