0.351,0.264
0.373,0.319
0.477,0.376
0.521,0.418
0.338,0.282
0.51,0.491
0.437,0.311
0.289,0.228
0.44,0.369
0.396,0.303
0.421,0.33
0.419,0.358
0.343,0.286
0.412,0.35
0.515,0.438
0.464,0.386
0.439,0.344
0.478,0.336
0.432,0.339
0.433,0.419
0.432,0.384
0.39,0.311
0.362,0.329
0.314,0.266
0.382,0.276
0.369,0.267
0.441,0.389
0.454,0.321
0.385,0.295
0.399,0.318
0.401,0.312
0.49,0.41
0.442,0.402
0.497,0.441
0.396,0.305
0.512,0.382
0.402,0.39
0.414,0.348
0.365,0.298
0.434,0.285
0.374,0.304
0.512,0.494
0.279,0.221
0.353,0.247
0.322,0.23
0.371,0.305
0.472,0.363
0.424,0.314
0.437,0.366
0.341,0.202
