0.284,0.186
0.303,0.305
0.397,0.305
0.434,0.336
0.212,0.195
0.485,0.498
0.366,0.245
0.246,0.2
0.459,0.317
0.266,0.229
0.266,0.227
0.342,0.311
0.376,0.232
0.395,0.34
0.434,0.348
0.421,0.293
0.371,0.309
0.379,0.19
0.344,0.307
0.45,0.466
0.378,0.354
0.266,0.208
0.282,0.272
0.19,0.185
0.46,0.266
0.295,0.213
0.386,0.316
0.377,0.229
0.326,0.284
0.43,0.315
0.34,0.278
0.409,0.33
0.454,0.402
0.393,0.445
0.324,0.306
0.511,0.311
0.328,0.362
0.3,0.296
0.299,0.291
0.407,0.236
0.326,0.222
0.509,0.492
0.191,0.166
0.219,0.109
0.221,0.148
0.341,0.292
0.33,0.29
0.268,0.177
0.427,0.371
0.188,0.084
