0.36,0.265
0.367,0.32
0.475,0.377
0.485,0.388
0.32,0.283
0.518,0.487
0.427,0.311
0.295,0.231
0.491,0.391
0.372,0.296
0.41,0.334
0.404,0.351
0.439,0.297
0.43,0.374
0.49,0.422
0.498,0.401
0.419,0.346
0.465,0.337
0.423,0.345
0.462,0.434
0.427,0.378
0.378,0.297
0.376,0.324
0.309,0.257
0.504,0.33
0.403,0.294
0.444,0.383
0.456,0.326
0.405,0.311
0.467,0.351
0.376,0.307
0.476,0.402
0.454,0.402
0.44,0.423
0.405,0.313
0.518,0.38
0.402,0.381
0.414,0.363
0.348,0.297
0.437,0.295
0.404,0.318
0.503,0.477
0.283,0.223
0.363,0.238
0.327,0.227
0.368,0.294
0.43,0.353
0.387,0.306
0.449,0.371
0.334,0.204
