0.249,0.182,0.159
0.35,0.307,0.285
0.336,0.292,0.254
0.418,0.33,0.283
0.257,0.213,0.186
0.646,0.513,0.495
0.305,0.37,0.353
0.284,0.281,0.259
0.279,0.305,0.25
0.242,0.295,0.239
0.285,0.244,0.209
0.35,0.315,0.297
0.265,0.246,0.202
0.384,0.283,0.265
0.401,0.408,0.351
0.343,0.296,0.275
0.359,0.308,0.269
0.194,0.203,0.165
0.315,0.302,0.267
0.521,0.408,0.399
0.445,0.361,0.331
0.296,0.214,0.188
0.362,0.322,0.308
0.233,0.179,0.151
0.235,0.216,0.179
0.228,0.28,0.246
0.387,0.325,0.283
0.263,0.257,0.218
0.335,0.276,0.242
0.343,0.257,0.236
0.35,0.295,0.258
0.379,0.342,0.298
0.49,0.372,0.354
0.486,0.358,0.343
0.361,0.279,0.258
0.305,0.317,0.269
0.499,0.309,0.297
0.316,0.28,0.238
0.326,0.285,0.256
0.245,0.243,0.21
0.199,0.288,0.227
0.616,0.398,0.389
0.222,0.183,0.162
0.158,0.262,0.219
0.194,0.184,0.148
0.408,0.364,0.348
0.355,0.328,0.299
0.208,0.248,0.201
0.419,0.407,0.363
0.09,0.142,0.127
