0.244,0.285,0.251
0.307,0.385,0.35
0.333,0.396,0.349
0.381,0.417,0.359
0.289,0.336,0.289
0.526,0.515,0.486
0.299,0.421,0.389
0.22,0.287,0.261
0.315,0.408,0.351
0.262,0.332,0.279
0.316,0.362,0.314
0.318,0.372,0.321
0.281,0.331,0.268
0.346,0.387,0.356
0.41,0.45,0.392
0.388,0.412,0.376
0.334,0.37,0.312
0.269,0.352,0.293
0.325,0.394,0.344
0.404,0.425,0.391
0.383,0.408,0.366
0.302,0.327,0.283
0.332,0.377,0.348
0.248,0.274,0.229
0.251,0.317,0.266
0.243,0.391,0.342
0.357,0.417,0.364
0.274,0.347,0.285
0.287,0.34,0.29
0.308,0.372,0.331
0.3,0.36,0.32
0.377,0.418,0.354
0.413,0.415,0.376
0.41,0.428,0.396
0.291,0.36,0.315
0.324,0.403,0.344
0.402,0.388,0.373
0.333,0.418,0.361
0.289,0.321,0.279
0.237,0.34,0.29
0.263,0.38,0.317
0.499,0.46,0.432
0.217,0.264,0.23
0.217,0.352,0.288
0.213,0.31,0.255
0.308,0.368,0.321
0.327,0.406,0.359
0.266,0.357,0.293
0.348,0.442,0.385
0.195,0.245,0.221
