0.302,0.363,0.302,0.245,0.22
0.263,0.387,0.281,0.326,0.193
0.305,0.479,0.289,0.375,0.202
0.261,0.539,0.237,0.412,0.164
0.355,0.323,0.277,0.277,0.17
0.273,0.519,0.257,0.484,0.227
0.282,0.38,0.3,0.299,0.171
0.328,0.333,0.322,0.227,0.186
0.219,0.419,0.207,0.35,0.14
0.269,0.366,0.238,0.287,0.15
0.319,0.416,0.29,0.319,0.169
0.377,0.416,0.357,0.353,0.34
0.278,0.349,0.282,0.268,0.216
0.283,0.397,0.272,0.338,0.206
0.289,0.496,0.276,0.436,0.247
0.29,0.47,0.287,0.382,0.145
0.283,0.426,0.277,0.329,0.184
0.302,0.375,0.272,0.303,0.156
0.337,0.427,0.312,0.346,0.24
0.244,0.447,0.242,0.397,0.177
0.352,0.43,0.344,0.373,0.308
0.268,0.396,0.282,0.301,0.185
0.294,0.378,0.266,0.312,0.177
0.283,0.317,0.255,0.249,0.154
0.338,0.435,0.286,0.275,0.202
0.3,0.396,0.292,0.266,0.172
0.244,0.453,0.247,0.372,0.171
0.298,0.468,0.323,0.328,0.193
0.328,0.411,0.291,0.297,0.195
0.264,0.483,0.274,0.354,0.218
0.328,0.369,0.283,0.299,0.199
0.35,0.474,0.331,0.397,0.23
0.266,0.457,0.271,0.407,0.2
0.244,0.457,0.238,0.42,0.167
0.282,0.407,0.285,0.305,0.226
0.257,0.438,0.252,0.343,0.197
0.327,0.409,0.266,0.374,0.202
0.279,0.443,0.284,0.355,0.204
0.323,0.353,0.247,0.276,0.167
0.306,0.394,0.276,0.254,0.153
0.282,0.41,0.24,0.306,0.152
0.264,0.509,0.248,0.465,0.216
0.296,0.28,0.254,0.215,0.163
0.336,0.344,0.293,0.229,0.166
0.318,0.317,0.275,0.214,0.155
0.329,0.423,0.324,0.297,0.246
0.273,0.433,0.262,0.359,0.188
0.277,0.384,0.262,0.288,0.158
0.307,0.434,0.297,0.36,0.222
0.399,0.333,0.252,0.202,0.1
