0.188,0.275,0.193,0.167,0.096
0.126,0.314,0.139,0.307,0.084
0.18,0.422,0.152,0.31,0.079
0.157,0.549,0.138,0.388,0.075
0.17,0.219,0.08,0.187,0.032
0.208,0.494,0.186,0.494,0.164
0.149,0.271,0.173,0.218,0.052
0.192,0.305,0.19,0.203,0.053
0.092,0.305,0.07,0.276,0.041
0.165,0.277,0.127,0.217,0.058
0.189,0.275,0.138,0.203,0.049
0.289,0.359,0.269,0.314,0.245
0.127,0.244,0.119,0.179,0.068
0.187,0.323,0.172,0.299,0.12
0.174,0.476,0.158,0.387,0.122
0.158,0.386,0.132,0.285,0.051
0.171,0.36,0.174,0.279,0.076
0.136,0.2,0.098,0.152,0.028
0.206,0.363,0.172,0.3,0.102
0.15,0.418,0.145,0.429,0.111
0.243,0.378,0.224,0.352,0.176
0.132,0.292,0.178,0.211,0.068
0.173,0.291,0.138,0.25,0.08
0.122,0.201,0.08,0.187,0.031
0.182,0.361,0.128,0.208,0.062
0.16,0.312,0.148,0.178,0.049
0.118,0.376,0.114,0.291,0.06
0.154,0.426,0.209,0.233,0.064
0.216,0.338,0.184,0.241,0.095
0.146,0.403,0.168,0.307,0.106
0.192,0.332,0.142,0.262,0.074
0.266,0.423,0.238,0.325,0.133
0.173,0.379,0.183,0.414,0.103
0.121,0.414,0.123,0.433,0.07
0.178,0.349,0.181,0.281,0.112
0.125,0.364,0.127,0.236,0.078
0.237,0.345,0.168,0.347,0.12
0.141,0.348,0.147,0.289,0.066
0.195,0.289,0.11,0.258,0.062
0.165,0.308,0.124,0.194,0.04
0.144,0.334,0.115,0.199,0.044
0.218,0.529,0.196,0.464,0.178
0.121,0.206,0.074,0.156,0.028
0.158,0.213,0.105,0.106,0.028
0.147,0.21,0.094,0.135,0.027
0.244,0.379,0.229,0.293,0.164
0.151,0.349,0.127,0.291,0.072
0.127,0.26,0.106,0.154,0.038
0.202,0.411,0.177,0.339,0.11
0.163,0.182,0.062,0.087,0.018
