0.265,0.35,0.28,0.299,0.259
0.38,0.373,0.348,0.329,0.338
0.345,0.409,0.292,0.356,0.278
0.432,0.438,0.338,0.417,0.321
0.276,0.202,0.189,0.189,0.191
0.666,0.466,0.496,0.498,0.53
0.339,0.227,0.213,0.221,0.224
0.312,0.229,0.213,0.206,0.205
0.303,0.428,0.372,0.383,0.328
0.27,0.28,0.206,0.278,0.215
0.3,0.294,0.239,0.257,0.221
0.368,0.437,0.396,0.365,0.343
0.283,0.229,0.182,0.22,0.193
0.415,0.367,0.353,0.314,0.327
0.413,0.453,0.377,0.427,0.374
0.38,0.316,0.27,0.296,0.276
0.214,0.265,0.216,0.216,0.176
0.343,0.339,0.296,0.294,0.272
0.527,0.389,0.35,0.409,0.395
0.45,0.372,0.329,0.374,0.349
0.319,0.281,0.222,0.287,0.25
0.38,0.277,0.27,0.285,0.292
0.247,0.184,0.159,0.176,0.162
0.26,0.232,0.189,0.229,0.196
0.255,0.272,0.2,0.265,0.206
0.396,0.395,0.345,0.379,0.313
0.287,0.29,0.237,0.272,0.228
0.366,0.299,0.275,0.285,0.272
0.368,0.367,0.345,0.34,0.336
0.374,0.308,0.276,0.313,0.297
0.409,0.412,0.351,0.393,0.35
0.509,0.393,0.384,0.353,0.355
0.52,0.374,0.411,0.423,0.464
0.388,0.323,0.28,0.314,0.295
0.312,0.338,0.273,0.321,0.265
0.518,0.316,0.32,0.304,0.323
0.335,0.371,0.328,0.32,0.294
0.366,0.272,0.273,0.263,0.282
0.262,0.304,0.218,0.253,0.207
