0.249,0.198,0.177
0.35,0.259,0.249
0.336,0.236,0.22
0.418,0.335,0.313
0.257,0.186,0.173
0.646,0.491,0.475
0.305,0.26,0.228
0.284,0.186,0.177
0.279,0.359,0.313
0.242,0.207,0.172
0.285,0.243,0.212
0.35,0.303,0.286
0.265,0.199,0.181
0.384,0.318,0.306
0.401,0.335,0.306
0.343,0.289,0.276
0.359,0.261,0.245
0.194,0.19,0.164
0.315,0.326,0.295
0.521,0.333,0.327
0.445,0.353,0.338
0.296,0.173,0.158
0.362,0.25,0.244
0.233,0.266,0.246
0.235,0.23,0.204
0.228,0.205,0.177
0.387,0.277,0.248
0.263,0.284,0.261
0.335,0.331,0.317
0.343,0.271,0.258
0.35,0.255,0.239
0.379,0.342,0.321
0.49,0.36,0.347
0.486,0.388,0.369
0.361,0.264,0.245
0.305,0.376,0.35
0.499,0.355,0.347
0.316,0.263,0.245
0.326,0.231,0.217
0.245,0.235,0.213
0.199,0.21,0.158
0.616,0.442,0.435
0.222,0.207,0.189
0.158,0.147,0.124
0.194,0.189,0.157
0.408,0.321,0.311
0.355,0.315,0.29
0.208,0.231,0.194
0.419,0.345,0.33
0.09,0.085,0.072
