0.244,0.303,0.272
0.307,0.343,0.324
0.333,0.357,0.328
0.381,0.419,0.385
0.289,0.287,0.257
0.526,0.506,0.48
0.299,0.37,0.327
0.22,0.254,0.238
0.315,0.417,0.371
0.262,0.301,0.261
0.316,0.356,0.314
0.318,0.405,0.36
0.281,0.312,0.278
0.346,0.395,0.369
0.41,0.422,0.386
0.388,0.398,0.366
0.334,0.37,0.343
0.269,0.351,0.302
0.325,0.399,0.358
0.404,0.391,0.37
0.383,0.414,0.388
0.302,0.294,0.263
0.332,0.325,0.303
0.248,0.36,0.326
0.251,0.326,0.288
0.243,0.322,0.282
0.357,0.394,0.359
0.274,0.381,0.349
0.287,0.399,0.376
0.308,0.381,0.358
0.3,0.371,0.346
0.377,0.425,0.393
0.413,0.435,0.414
0.41,0.441,0.421
0.291,0.324,0.297
0.324,0.426,0.392
0.402,0.398,0.381
0.333,0.39,0.357
0.289,0.309,0.283
0.237,0.345,0.31
0.263,0.33,0.273
0.499,0.475,0.449
0.217,0.292,0.266
0.217,0.271,0.227
0.213,0.338,0.295
0.308,0.399,0.371
0.327,0.4,0.36
0.266,0.35,0.302
0.348,0.396,0.368
0.195,0.203,0.177
